Cluster Index	Voxels	MAX	MAX X (vox)	MAX Y (vox)	MAX Z (vox)	COG X (vox)	COG Y (vox)	COG Z (vox)
48	58427	14.2	26	38	28	41.7	37.3	38.9
47	438	4.26	42	69	35	41	66.6	37
46	354	5.49	44	89	31	44.4	88.3	30
45	208	6.74	62	80	28	61.7	79.8	28.4
44	65	3.99	30	81	28	30	80.8	29.5
43	57	3.34	43	64	66	42.6	64.8	64
42	51	3.66	38	53	59	38.1	54.2	58.4
41	46	3.64	72	81	47	71.7	81	45.2
40	43	3.9	41	42	66	41	41.9	66.4
39	36	3.46	42	51	63	42.4	50.8	63.7
38	19	2.81	52	52	55	52.2	52.2	55.8
37	18	2.84	43	37	45	43.9	37.3	45.2
36	17	3.45	52	99	45	53.2	99.3	45.2
35	17	2.9	56	71	36	55.8	70.5	36.1
34	10	2.8	51	37	44	50.9	37.5	44
33	10	3.36	42	55	17	41.9	54.3	17.3
32	9	2.86	65	47	74	65.1	47.8	73.6
31	7	3.37	45	51	5	44.9	51.1	5.65
30	7	2.65	28	52	69	28.4	52.1	67.2
29	6	2.76	46	64	30	46	64.5	29.7
28	5	2.62	25	81	27	25	81.6	27.4
27	5	3.2	77	71	50	76.6	71.3	50
26	5	2.56	43	56	67	43.4	56.4	67.2
25	5	2.58	49	43	65	49	42.8	65.4
24	5	2.8	54	31	19	52.8	31	19.4
23	4	2.69	29	53	63	29.5	53	63.5
22	3	2.54	56	55	20	55.7	55.7	20
21	3	2.41	33	70	38	33	70.3	38.3
20	3	2.38	45	48	68	45	47.7	67.7
19	3	2.62	33	82	28	33	82.6	27.7
18	3	2.77	42	100	44	42	99.7	43.4
17	2	2.59	48	64	44	48	64.5	43.5
16	2	2.44	36	30	15	36.5	30	15
15	2	3.39	74	75	51	74	75.4	51
14	2	2.42	47	98	51	46.5	98	51
13	1	2.35	52	92	60	52	92	60
12	1	2.47	67	64	68	67	64	68
11	1	2.37	15	77	54	15	77	54
10	1	2.38	73	70	47	73	70	47
9	1	2.49	74	78	46	74	78	46
8	1	2.54	75	78	44	75	78	44
7	1	2.86	29	99	43	29	99	43
6	1	2.41	37	70	31	37	70	31
5	1	2.35	46	67	30	46	67	30
4	1	2.32	55	67	22	55	67	22
3	1	2.61	28	45	14	28	45	14
2	1	2.33	26	64	13	26	64	13
1	1	2.31	31	25	69	31	25	69
