Cluster Index	Voxels	MAX	MAX X (vox)	MAX Y (vox)	MAX Z (vox)	COG X (vox)	COG Y (vox)	COG Z (vox)
47	51090	8.78	26	38	28	41	36.4	38.4
46	1339	4.91	66	60	61	69.1	59.4	60.4
45	255	4.32	44	89	31	44.5	88.8	30.1
44	209	3.33	42	69	35	44.2	68.4	35.2
43	152	5.31	62	80	28	61.9	79.8	28.4
42	81	3.08	34	62	40	34	62.3	40.7
41	38	3.12	30	81	28	29.9	81.1	29.3
40	35	3.05	41	42	66	41	41.8	66.5
39	32	2.6	43	64	66	42.8	64.7	64.4
38	26	2.41	68	73	48	68.5	73.1	48
37	24	2.86	38	53	59	38	53.5	58.7
36	23	2.84	72	81	47	71.7	81	45.6
35	20	2.69	42	51	63	42.4	50.5	63.6
34	14	2.91	64	59	73	63.5	59	72.5
33	12	2.42	60	73	24	60.3	71.3	23.1
32	10	2.69	52	99	45	52.4	99.4	45.2
31	8	2.36	68	73	17	68.4	74	17.4
30	8	2.18	52	52	55	52.4	52	55.4
29	7	2.25	56	71	36	55.7	70.7	36
28	5	2.63	45	51	5	44.8	51	5.37
27	4	2.62	42	55	17	41.5	54.5	17
26	3	2.17	51	37	44	51	37.7	43.7
25	3	2.2	43	37	45	42.7	37	44.7
24	3	2.15	38	57	58	38.7	57.3	58
23	3	2.25	75	64	52	74.7	63.7	52
22	2	2.22	65	47	74	65	47.5	74
21	2	2.08	64	53	67	64	52.5	66.5
20	2	2.18	30	46	13	30	45.5	13
19	2	2.09	29	53	63	29	53	63.5
18	2	2.19	21	70	17	20.5	69.5	16.5
17	2	2.09	76	64	55	76	64.5	55
16	2	2.49	77	71	50	77	71	49.5
15	2	2.17	54	31	19	53.5	31	19
14	2	2.02	45	37	45	45	37	45.5
13	2	2.04	44	80	28	44.5	80	28
12	2	2.14	46	64	30	46	64.5	30
11	1	2.64	74	75	51	74	75	51
10	1	2.34	71	41	20	71	41	20
9	1	2.03	25	81	27	25	81	27
8	1	2.15	42	100	44	42	100	44
7	1	2.03	28	74	15	28	74	15
6	1	2.02	28	45	14	28	45	14
5	1	2.01	48	64	44	48	64	44
4	1	2.22	29	99	43	29	99	43
3	1	2.01	29	52	67	29	52	67
2	1	2.05	28	52	69	28	52	69
1	1	2.03	33	82	28	33	82	28
