Cluster Index	Voxels	MAX	MAX X (vox)	MAX Y (vox)	MAX Z (vox)	COG X (vox)	COG Y (vox)	COG Z (vox)
60	54762	13.8	26	38	28	40.9	36.8	40.4
59	461	3.89	47	90	31	43.7	88.7	29.7
58	433	4.71	55	42	15	50.4	42.7	16
57	375	4.37	52	25	14	54.4	26.5	14.2
56	266	4.12	42	69	35	43.9	68.5	35.1
55	215	4.4	40	24	16	39.1	25	15.4
54	193	5.87	62	79	28	61.2	80	29.1
53	120	3.41	37	42	15	36.5	42.2	14.2
52	91	3.26	46	33	15	46.5	34.4	16.8
51	83	3.95	29	81	29	30.2	80.3	30.1
50	71	4.36	77	71	49	74.3	77.7	46.8
49	36	2.79	44	51	64	43.4	51.6	64.6
48	27	2.98	64	39	7	63.9	39.6	7.67
47	27	2.78	43	64	66	42.7	64.7	64.7
46	21	2.9	42	43	67	41.8	43.3	66.8
45	18	3.47	52	99	45	53.1	99.4	45.4
44	15	2.26	43	37	45	43.5	36.8	44.9
43	14	2.68	51	37	44	50.5	37.5	43.5
42	12	2.59	38	53	59	37.5	53.1	58.4
41	9	2.38	46	64	30	46.1	63.6	29.7
40	9	2.46	38	40	41	38.1	39.5	41.8
39	8	3.44	36	100	49	35.9	99.8	48.8
38	8	2.49	47	42	12	46.8	42.5	12.4
37	7	2.41	76	64	52	75.7	64	51.7
36	7	2.86	54	90	61	53.6	89.6	60.9
35	7	2.52	63	46	17	62.9	46.4	17.3
34	6	2.82	41	101	44	40.5	101	44
33	6	2.41	52	92	60	50.7	92.2	60.3
32	6	2.65	66	44	17	66.5	44	17
31	6	2.24	49	42	65	49.2	42.3	65.2
30	5	2.11	55	68	33	55.4	67.6	33.2
29	4	2.84	46	51	5	45.5	51	5.48
28	4	2.31	51	78	32	51	78.5	32.5
27	4	2.15	34	71	15	34	70.3	15.7
26	3	2.26	78	63	28	78	63.3	28.3
25	3	2.29	66	79	62	66.3	79	61.3
24	3	2.47	61	70	22	61	70	22
23	3	2.17	53	51	56	53	51.3	55.7
22	3	2.75	70	78	58	70	78.6	57.1
21	2	2.33	29	35	74	28.5	35	74
20	2	2.18	69	76	17	69	75.5	17
19	2	2.1	64	59	18	64	59	18.5
18	2	2.2	54	93	57	53.5	93	57
17	2	2.17	33	60	41	33	60.5	41
16	2	2.33	38	81	26	38	81.5	26
15	2	2.1	33	60	45	33	59.5	45
14	1	2.24	52	27	72	52	27	72
13	1	2.02	13	43	66	13	43	66
12	1	2.04	30	58	75	30	58	75
11	1	2.02	57	84	65	57	84	65
10	1	2.12	61	44	8	61	44	8
9	1	2.36	35	72	28	35	72	28
8	1	2.05	53	99	48	53	99	48
7	1	2.07	24	83	26	24	83	26
6	1	2.11	23	54	50	23	54	50
5	1	2.23	37	92	59	37	92	59
4	1	2.01	50	94	56	50	94	56
3	1	2.09	50	47	23	50	47	23
2	1	2.04	72	77	56	72	77	56
1	1	2	33	70	32	33	70	32
