Cluster Index	Voxels	MAX	MAX X (vox)	MAX Y (vox)	MAX Z (vox)	COG X (vox)	COG Y (vox)	COG Z (vox)
46	42307	8.44	26	38	28	40	35.1	39.5
45	1058	4.99	75	55	62	70.7	57.2	61.7
44	227	3.35	52	25	14	54.3	26.4	14.1
43	154	2.87	64	67	51	66.5	67.7	50.3
42	152	2.98	47	90	31	43.4	90.1	30
41	113	3.63	55	42	15	54.8	41.7	14
40	103	3.38	40	24	16	39.5	24.6	15.7
39	100	4.56	62	79	28	61.5	79.7	28.7
38	89	3.16	42	69	35	43.1	68.3	35.1
37	66	3.76	25	76	24	25.1	75.3	21.4
36	63	3.17	46	42	18	45.9	43	18
35	46	3.03	29	81	29	30.1	80.4	29.7
34	39	2.49	46	33	15	46.4	34.2	16.9
33	36	2.52	18	84	42	18.4	83.4	42
32	32	2.6	37	42	15	36.8	41.9	14.4
31	15	2.29	50	57	40	50.3	56.2	40.3
30	11	2.44	63	58	73	63.5	58.7	72.6
29	9	2.44	47	80	30	46.7	80.6	29.7
28	9	2.61	68	71	25	67.7	70.2	25.1
27	6	2.27	64	39	7	64.2	39.2	7.32
26	5	2.24	42	57	38	41.6	56.8	38.4
25	5	2.2	48	67	39	47.8	67.6	39.6
24	5	2.5	75	79	45	75	78.2	44.6
23	5	2.82	76	67	57	76	66.2	56.4
22	5	2.6	73	81	46	72.6	81.4	46
21	5	2.65	52	99	45	51.8	99.6	45
20	4	2.21	42	43	67	41.8	43.2	66.5
19	4	2.22	27	52	67	27	52	66.8
18	4	2.4	64	47	74	64	47	74.5
17	3	2.2	65	75	46	65.3	75.3	46
16	3	2.63	36	100	49	35.6	100	48.7
15	3	3.35	77	71	49	77	71.2	49.4
14	3	2.52	75	75	50	75	74.4	50.3
13	2	2.16	46	51	5	45.5	51	5
12	2	2.25	68	48	72	68	47.5	72
11	2	2.11	43	64	66	43.5	64	66
10	2	2.05	44	78	27	44	77.5	27
9	2	2.12	44	51	64	43.5	51	64
8	1	2.01	66	44	17	66	44	17
7	1	2.17	54	90	61	54	90	61
6	1	2.08	70	78	58	70	78	58
5	1	2.03	51	37	44	51	37	44
4	1	2.08	69	51	52	69	51	52
3	1	2.14	41	101	44	41	101	44
2	1	2.22	56	99	45	56	99	45
1	1	2.42	25	48	74	25	48	74
