Cluster Index	Voxels	MAX	MAX X (vox)	MAX Y (vox)	MAX Z (vox)	COG X (vox)	COG Y (vox)	COG Z (vox)
49	29004	11.6	21	26	36	40.2	39.3	39.1
48	1106	4.85	25	64	59	23	65.1	57.8
47	1015	4.72	52	23	15	51.3	27.4	14.5
46	867	4.77	33	41	61	30.3	37.9	64.1
45	672	5.74	37	49	39	42.5	48.4	35.6
44	244	4.05	61	40	64	60.5	39.7	64
43	184	3.61	20	80	40	18.2	79.2	40.7
42	165	3.62	42	38	64	42.7	35.8	62.2
41	107	3.63	42	45	21	44.4	44.5	19.1
40	97	3.11	12	52	56	13.8	54.4	55.9
39	64	2.85	36	43	14	37.3	41	14
38	52	3.26	37	28	26	37.1	27.8	24.5
37	32	2.88	71	76	23	70.2	75.4	23.4
36	30	2.93	28	64	17	27.6	62.4	17.3
35	26	3.48	52	52	55	52	52	55.3
34	22	2.8	40	88	54	40.9	88.6	54.3
33	19	3.09	20	69	15	20.8	69.2	15.8
32	17	2.67	65	60	62	65.5	60	61.9
31	15	2.76	40	49	27	40.4	49.1	26.6
30	11	2.33	58	65	24	57.3	64.5	24.4
29	6	2.39	45	97	30	44.8	96.3	30.3
28	6	2.28	48	45	24	47.8	45.5	23.7
27	6	2.36	47	42	11	46.8	42.2	10.7
26	4	2.18	13	54	64	13	54	63.5
25	3	2.09	35	29	11	34.7	29.3	11
24	3	2.11	40	80	66	39.7	79.7	66
23	2	2.24	62	67	51	62.5	67	51
22	2	2.25	37	85	63	36.5	85	63
21	2	2.15	32	72	24	31.5	72	24
20	2	2.06	55	46	27	55.5	46	27
19	2	2.13	65	36	8	65	36.5	8
18	2	2.33	32	43	10	32.5	43	10
17	2	2.09	32	48	13	32	48	13.5
16	2	2.13	33	67	20	33	67	19.5
15	2	2.2	69	74	18	69	74.5	18
14	2	2.31	69	40	15	69	39.5	15
13	2	2.24	42	54	17	42	54.5	17
12	1	2.01	32	58	63	32	58	63
11	1	2.27	76	57	63	76	57	63
10	1	2.02	37	37	16	37	37	16
9	1	2.05	52	50	17	52	50	17
8	1	2.03	76	67	18	76	67	18
7	1	2.14	33	67	22	33	67	22
6	1	2.05	59	69	70	59	69	70
5	1	2.11	74	33	26	74	33	26
4	1	2.01	18	83	36	18	83	36
3	1	2.2	18	77	36	18	77	36
2	1	2.08	72	28	28	72	28	28
1	1	2.1	45	32	69	45	32	69
