Cluster Index	Voxels	MAX	MAX X (vox)	MAX Y (vox)	MAX Z (vox)	COG X (vox)	COG Y (vox)	COG Z (vox)
34	8764	6.47	21	27	35	21.2	40.5	39.4
33	4354	5.73	69	28	41	70	41.6	39.6
32	213	3.23	25	64	59	23	63.7	59.2
31	137	3.62	55	22	47	56.4	21	48.2
30	132	3.17	33	41	61	30.8	38.7	63.2
29	61	3.14	52	23	15	51.3	23.8	15.6
28	60	3.02	58	29	13	57.7	28.1	11.3
27	57	3.81	37	49	39	36.3	48.7	38.5
26	33	2.8	54	15	47	53.5	16.1	46.3
25	22	2.82	54	27	28	52.8	26.2	26.3
24	20	2.71	67	44	25	66.5	42.5	26
23	19	3.26	49	47	32	48.5	46.8	32.3
22	17	2.83	42	47	33	42.4	47.5	33.6
21	12	2.8	52	49	37	52.3	49.1	36.8
20	11	2.7	55	41	13	55.3	40.5	13.3
19	10	2.58	46	34	18	46.3	33.5	16.8
18	8	2.78	30	65	26	29.6	64.9	26.3
17	6	2.67	61	40	64	61.2	40.3	64.2
16	5	2.63	51	15	50	50.8	15.4	50.4
15	3	2.35	20	80	40	20	80.3	39.7
14	3	2.7	51	18	55	50.7	18	54.7
13	2	2.36	42	38	64	41.5	38	64
12	2	2.54	35	20	60	35.5	20	60
11	2	2.48	26	76	24	25.5	76	24
10	2	3.14	79	34	39	79	34.5	39
9	2	2.37	42	45	21	42	45.5	21
8	2	2.47	56	19	56	56.5	19.5	55.5
7	1	2.32	40	21	58	40	21	58
6	1	2.31	49	35	18	49	35	18
5	1	2.36	34	51	35	34	51	35
4	1	2.42	54	27	32	54	27	32
3	1	2.51	27	63	29	27	63	29
2	1	2.33	40	26	29	40	26	29
1	1	2.3	17	79	40	17	79	40
