Cluster Index	Voxels	MAX	MAX X (vox)	MAX Y (vox)	MAX Z (vox)	COG X (vox)	COG Y (vox)	COG Z (vox)
51	25553	11.3	17	30	39	38	38.6	39.4
50	797	4.55	26	62	59	23	65.4	57.1
49	442	4.42	35	48	38	41.5	48	35.5
48	421	3.72	31	41	63	30.4	38.5	63.8
47	409	4.37	51	25	13	53	24.7	15.5
46	189	4.68	66	41	27	66	39.6	27.5
45	161	3.52	47	33	15	46.8	33.8	16.5
44	161	3.36	43	33	58	43.8	35.1	58.9
43	79	3.07	40	87	55	41.5	90.9	52.9
42	73	2.99	17	80	41	17.8	80.5	40.7
41	69	5.06	25	76	24	24.8	75	23.8
40	58	3.36	44	96	30	43.3	94.8	30.6
39	57	2.88	59	36	34	58.3	35.8	32.8
38	55	2.93	55	42	13	54.8	42.1	13.2
37	23	2.92	44	26	18	43.9	25.7	18.3
36	19	3.05	13	53	65	13.2	52.2	64.2
35	11	2.37	41	24	15	40.6	24.1	14.5
34	11	2.27	20	75	48	18.3	75.4	47.7
33	8	2.44	58	20	25	57.2	19.4	25.4
32	7	2.59	43	92	46	42.7	92.8	45.4
31	6	2.19	33	58	30	32.8	58.5	30.5
30	5	2.18	52	51	55	52.4	51.4	55.4
29	5	2.28	33	68	20	33.2	68.2	19.4
28	4	2.19	76	74	50	76.5	73.3	49.8
27	3	2.11	13	65	57	13.7	66	57.7
26	3	2.18	32	47	14	32	46.7	14.7
25	3	2.23	59	65	25	58.7	65.3	25
24	3	2.08	65	71	46	65	72	46
23	2	2.16	78	50	54	78	49.5	54
22	2	2.09	12	62	53	12	62.5	53
21	2	2.16	78	33	34	78	32.5	34
20	2	2.26	52	27	72	51.5	27	72
19	2	2.09	31	58	16	31	58.5	16
18	2	2.11	36	42	14	36.5	42	14
17	1	2.05	50	18	56	50	18	56
16	1	2.02	36	83	66	36	83	66
15	1	2.18	19	63	67	19	63	67
14	1	2.03	79	59	49	79	59	49
13	1	2.04	32	31	49	32	31	49
12	1	2.12	77	71	48	77	71	48
11	1	2.26	45	95	46	45	95	46
10	1	2.21	75	79	44	75	79	44
9	1	2.02	39	54	33	39	54	33
8	1	2.12	41	88	28	41	88	28
7	1	2.05	78	65	27	78	65	27
6	1	2.05	40	49	27	40	49	27
5	1	2.02	62	66	25	62	66	25
4	1	2.02	71	76	23	71	76	23
3	1	2.12	33	62	22	33	62	22
2	1	2.05	42	45	21	42	45	21
1	1	2.08	25	41	70	25	41	70
