Cluster Index	Voxels	MAX	MAX X (vox)	MAX Y (vox)	MAX Z (vox)	COG X (vox)	COG Y (vox)	COG Z (vox)
24	9396	6.34	21	26	35	20.7	40.6	39
23	4158	5.63	68	28	44	69.6	40.2	40.3
22	388	4.52	51	17	33	50.5	15.7	36
21	151	2.94	26	62	59	23.7	64	57.6
20	51	2.81	51	25	13	51.2	23.9	15.5
19	41	2.74	54	26	27	53.4	25.7	26.8
18	36	2.85	35	48	38	35.9	48.5	38.4
17	33	3.03	66	41	27	66.2	41.2	27
16	17	2.36	31	41	63	32.1	40.1	61.9
15	14	3.28	25	76	24	25.4	75.8	23.7
14	10	2.38	49	47	32	48.5	46.8	32.2
13	9	2.21	46	34	18	47.1	34.2	18.1
12	7	2.14	55	18	44	55.4	16.3	43.7
11	5	2.27	42	47	33	42	47.2	33.8
10	5	2.22	47	33	15	46.8	33	14.4
9	4	2.21	54	15	47	53.8	14.7	46.8
8	3	2.1	44	96	30	43.7	96	30.3
7	3	2.32	30	64	27	30	64.3	26.4
6	3	2.16	44	44	32	44.3	44.3	32.3
5	2	2.08	75	67	31	75	66.5	31
4	2	2.1	43	33	58	43.5	33	58
3	1	2.14	32	50	35	32	50	35
2	1	2.06	53	49	37	53	49	37
1	1	2.01	54	17	46	54	17	46
