Cluster Index	Voxels	MAX	MAX X (vox)	MAX Y (vox)	MAX Z (vox)	COG X (vox)	COG Y (vox)	COG Z (vox)
49	36326	11.4	27	38	27	44	31.4	36.2
48	8059	6.84	15	57	64	28.1	57.8	62.8
47	5519	6.96	66	53	66	67.4	58.4	60.2
46	985	6.25	61	80	27	54.8	83.4	29.8
45	96	3.18	13	61	41	14.1	61.3	40.4
44	72	3.5	56	42	15	55.9	41.9	15.2
43	62	4.39	53	99	44	53.2	99.3	45.3
42	47	2.63	47	44	20	46.7	44	19.7
41	47	3.43	70	54	49	70.5	54.2	48.9
40	39	3.28	37	41	16	36.7	41.6	15.4
39	36	3.1	39	38	43	39	39.2	42.3
38	33	2.75	50	37	42	50	37.2	42.1
37	32	2.58	49	43	66	49.9	44.2	64.5
36	32	3.33	52	89	61	53.1	89.2	60.6
35	13	2.41	40	86	27	39.6	86.2	28
34	12	2.3	29	44	57	29.4	44.1	56.4
33	11	2.3	32	71	21	31.5	70.5	22.4
32	9	2.44	77	61	36	77.1	62	36.4
31	8	2.77	55	84	64	56.2	83.7	63.4
30	8	2.54	16	79	50	15.4	78.3	51.5
29	7	2.79	17	84	41	16.6	83.9	40.7
28	6	2.17	46	35	19	45.8	35.2	19.3
27	6	2.47	73	64	33	72.8	64.3	33.3
26	6	2.21	35	87	32	35	87.3	32
25	6	2.52	78	54	37	77.7	54	37.1
24	4	2.23	53	21	59	52.3	20.3	59.5
23	3	2.22	51	57	56	51	56.3	56.3
22	3	2.21	16	57	46	16.3	57.3	46
21	3	2.17	58	84	60	58	84.3	60.3
20	3	2.45	53	93	28	53.3	92.7	28
19	2	2.23	68	79	59	68.5	79	59
18	2	2.03	20	84	43	20	83.5	43
17	2	2.15	64	67	22	64	67	22.5
16	2	2.17	62	69	23	61.5	68.5	22.5
15	2	2.15	66	66	69	66.5	66	68.5
14	2	2.25	12	66	36	12.5	66	35.5
13	2	2.78	70	70	30	70	69.5	30
12	2	2.87	22	91	28	22	91	28.4
11	2	2.06	34	70	27	33.5	70	27
10	2	2.11	43	86	27	43	86	26.5
9	1	2.05	66	78	43	66	78	43
8	1	2.05	59	97	44	59	97	44
7	1	2.2	35	101	44	35	101	44
6	1	2.03	28	63	43	28	63	43
5	1	2.04	42	39	41	42	39	41
4	1	2.39	14	77	40	14	77	40
3	1	2.04	70	67	40	70	67	40
2	1	2.03	68	70	26	68	70	26
1	1	2.07	38	100	38	38	100	38
