Cluster Index	Voxels	MAX	MAX X (vox)	MAX Y (vox)	MAX Z (vox)	COG X (vox)	COG Y (vox)	COG Z (vox)
49	22406	6.06	27	38	27	44.1	25.6	36.2
48	4192	6	35	49	37	44	56.3	36.3
47	3808	4.99	15	57	64	22.2	56.5	63.1
46	2901	5.07	66	53	66	67.2	57.4	61.7
45	1101	3.49	47	66	62	44.7	61.8	63
44	295	4.59	61	80	27	60	80.5	29
43	160	3.01	27	58	20	28.7	59	20.2
42	73	3.33	40	25	16	39.2	25.3	15.8
41	50	2.72	74	77	42	73	78.7	43.9
40	41	2.98	44	92	30	45.2	90	29.5
39	33	2.44	30	82	30	29.9	81.3	30
38	32	2.69	42	48	67	41.6	46.8	66.8
37	30	3.21	53	99	44	53.3	99.3	45.3
36	30	2.58	51	25	16	51	25	16.1
35	28	2.56	51	89	33	50.1	88.8	32.6
34	19	2.53	71	60	46	71.1	60.4	46.2
33	18	2.55	56	42	15	56.2	41.7	15.4
32	14	2.25	50	84	30	50.1	83.8	29.6
31	13	2.66	42	69	32	42	68.9	32.1
30	11	2.65	51	62	70	50.7	62.2	70.4
29	8	2.39	37	41	16	36.6	41.4	15.6
28	8	2.32	13	61	41	13.5	60.9	40.6
27	7	2.31	47	49	25	46.7	48.3	26
26	6	2.43	52	89	61	53.3	88.7	60.8
25	6	2.3	15	63	50	15.2	63	49.8
24	5	2.28	41	95	29	41.6	95.8	29
23	4	2.11	13	67	47	13.7	67.2	47.2
22	4	2.3	72	77	50	72	77.5	50
21	4	2.17	73	75	51	72.8	74.8	50.3
20	4	2.13	46	82	29	46.5	81.5	29
19	4	2.5	70	54	49	69.7	53.8	48.8
18	3	2.16	43	65	31	43.3	65	30.7
17	2	2.18	62	51	75	61.5	51	75
16	2	2.26	39	38	43	39.5	38	43
15	2	2.27	49	75	35	48.5	75	35
14	2	2.16	53	89	28	53	89	27.5
13	2	2.06	59	51	75	58.5	51.5	75
12	1	2.16	23	56	48	23	56	48
11	1	2.01	28	59	45	28	59	45
10	1	2	72	54	50	72	54	50
9	1	2.03	17	84	41	17	84	41
8	1	2.23	39	41	41	39	41	41
7	1	2.08	71	52	58	71	52	58
6	1	2.01	55	84	64	55	84	64
5	1	2.02	70	70	30	70	70	30
4	1	2.09	22	91	28	22	91	28
3	1	2.01	39	43	71	39	43	71
2	1	2.13	38	64	71	38	64	71
1	1	2.03	31	61	73	31	61	73
