Cluster Index	Voxels	MAX	MAX X (vox)	MAX Y (vox)	MAX Z (vox)	COG X (vox)	COG Y (vox)	COG Z (vox)
39	30416	13	27	38	27	43.9	29.9	36.9
38	6837	8.54	21	54	66	29	56.8	63.6
37	4323	7.81	72	52	64	67	55.5	62.4
36	356	5.85	58	80	30	58.6	80.5	29.5
35	65	4.6	72	81	47	70.7	81.5	45.8
34	60	3.09	51	90	33	46.6	87.3	29.7
33	48	3.36	27	42	62	27	41.6	62.3
32	35	3.35	40	25	17	39.9	24.5	16
31	30	3.57	69	54	48	69	53.9	47.9
30	27	4.45	55	99	44	54.1	98.9	44.5
29	24	3.06	46	45	20	45.9	45.2	19.7
28	24	2.92	41	80	27	43.5	80.1	28.1
27	24	3.66	66	78	43	66	78.4	43.1
26	20	2.77	53	21	59	51.8	20.4	59.7
25	19	3.14	72	78	51	71.3	78.8	50.8
24	14	2.69	64	59	18	63.7	59.4	20.1
23	12	3.05	39	41	41	39.1	40.7	41.3
22	11	2.82	51	37	43	51	36.7	43.2
21	10	3.15	72	60	45	71.8	60.5	45.4
20	10	2.87	61	51	47	60.6	51.9	46.9
19	9	2.65	52	26	16	51.8	25.5	16
18	8	3.64	53	89	27	52.2	87.9	27.3
17	8	2.67	38	85	27	38.7	85.4	27.2
16	5	2.53	56	41	15	56.4	41.6	15.2
15	5	2.99	27	59	46	27	58.6	46.2
14	5	2.64	30	70	22	30.4	70.2	22.4
13	4	2.69	56	83	63	56.3	83.2	63.2
12	3	2.69	23	55	48	23.3	54.7	48
11	3	2.53	36	87	31	35.7	86.3	31.3
10	3	2.43	46	52	70	45.7	51.3	70
9	2	2.91	38	64	71	38	64	70.6
8	1	2.48	32	100	45	32	100	45
7	1	2.51	50	101	41	50	101	41
6	1	2.36	72	64	34	72	64	34
5	1	2.31	73	76	55	73	76	55
4	1	2.34	28	43	58	28	43	58
3	1	2.32	67	80	59	67	80	59
2	1	3.26	57	47	76	57	47	76
1	1	2.67	33	63	72	33	63	72
