Cluster Index	Voxels	MAX	MAX X (vox)	MAX Y (vox)	MAX Z (vox)	COG X (vox)	COG Y (vox)	COG Z (vox)
37	19542	7.85	27	38	27	43.9	25.5	36.6
36	2972	6.01	21	54	66	22.8	55.4	64
35	2041	5.65	72	52	64	66.9	54	63.7
34	826	3.84	48	64	62	44.2	60.6	63.1
33	631	6.34	35	49	37	34.9	50.2	36.7
32	495	3.88	56	70	34	53.7	67.8	35.2
31	460	6.06	55	48	37	54.3	50	36.7
30	164	3.93	33	68	35	33.4	69.4	35.5
29	150	4.35	58	80	30	59.3	80.8	29.4
28	96	3.35	59	57	41	59.2	56.8	39.8
27	87	4.02	33	62	30	32.9	62.3	29.5
26	18	2.75	43	69	37	42.1	66.9	36.8
25	17	2.98	15	74	54	15	73.5	53.1
24	11	2.61	72	68	57	72.4	68.4	56.9
23	10	3.38	72	81	47	71.6	81.2	46.5
22	8	3.26	55	99	44	54.8	98.6	44.1
21	6	2.5	34	58	37	33.2	57.3	36.8
20	5	2.54	50	62	70	49.8	62	70.6
19	4	2.59	69	54	48	69	54	48.3
18	3	2.49	39	43	71	39	43	71
17	3	2.42	40	25	17	40.3	24.7	16.3
16	2	2.34	33	67	44	33	67.5	44
15	2	2.66	66	78	43	66	78.5	43
14	2	2.4	51	70	30	51	69.5	30.5
13	2	2.58	30	37	56	30	36.5	56
12	1	2.64	53	89	27	53	89	27
11	1	2.43	27	42	62	27	42	62
10	1	2.3	29	80	28	29	80	28
9	1	2.37	68	57	57	68	57	57
8	1	2.36	32	81	28	32	81	28
7	1	2.31	27	51	31	27	51	31
6	1	2.36	43	65	31	43	65	31
5	1	2.45	42	69	32	42	69	32
4	1	2.31	53	99	46	53	99	46
3	1	2.31	30	71	39	30	71	39
2	1	2.32	39	56	44	39	56	44
1	1	2.36	57	47	76	57	47	76
