,Average of BOLD response for cluster 0,Standard Deviation of BOLD response for cluster 0,Average of BOLD response for cluster 1,Standard Deviation of BOLD response for cluster 1,Average of BOLD response for cluster 2,Standard Deviation of BOLD response for cluster 2,Average of BOLD response for cluster 3,Standard Deviation of BOLD response for cluster 3,Average of BOLD response for cluster 4,Standard Deviation of BOLD response for cluster 4,Average of BOLD response for cluster 5,Standard Deviation of BOLD response for cluster 5
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000839402417283,0.000903630094467,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00131782785153,0.000931824248405,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00152943561596,0.00114715086194,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000857624003802,0.00102428901204,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00183471544686,0.00109317892891,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000784504541102,0.000692170002618,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000478435376432,0.0012495653654,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000377818810106,0.00134823799734,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00120886870423,0.00106999371623,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00124207390356,0.000768747262923,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00156487026046,0.00111346060252,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000155994993694,0.000951309008686,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000113900854396,0.000946114708105,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000926486881466,0.00111977714293,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00136048207179,0.000904806779362,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00138881296477,0.000935494081277,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00130982126742,0.00104398462617,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00165595408977,0.00116080861136,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000900706139493,0.00087138966812,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00132753270296,0.00113165974455,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000395107466589,0.00122408030307,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00174632406216,0.000820813424563,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.45214319727e-05,0.00130710686456,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00082554290268,0.00221828719399,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00220845347397,0.00214107507827,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00282692237604,0.00144855093508,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000698278895901,0.00151300208297,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000601259539328,0.000858101334291,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000777653195517,0.000810441557022,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00254725024513,0.00137053177519,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00227532142426,0.00135576981635,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000329615043407,0.000969570318537,0.0,0.0
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00175176665352,0.00122756642169,0.0,0.0
