,Average of BOLD response for cluster 0,Standard Deviation of BOLD response for cluster 0,Average of BOLD response for cluster 1,Standard Deviation of BOLD response for cluster 1,Average of BOLD response for cluster 2,Standard Deviation of BOLD response for cluster 2,Average of BOLD response for cluster 3,Standard Deviation of BOLD response for cluster 3,Average of BOLD response for cluster 4,Standard Deviation of BOLD response for cluster 4,Average of BOLD response for cluster 5,Standard Deviation of BOLD response for cluster 5
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00107658238539,0.00115011281071,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000416341744529,0.00160777282664,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000174510441509,0.00163575700044,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00179357566724,0.0012576511198,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000740472160349,0.00149040288093,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00160968004829,0.00136641836107,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00117841451494,0.00112387990856,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00248655227732,0.00131313719843,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00125382354212,0.000956411682078,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00114256929731,0.00117263520862,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000425663284922,0.00107672674122,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000711529486325,0.000988745859996,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002014144836,0.001264617671,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00113765371587,0.001532654946,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000807535008291,0.0015711923573,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000639566819509,0.000885539116805,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00144761958869,0.00105536588923,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000465497121823,0.00125343906212,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0017406932192,0.00134796150398,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.40138168688e-05,0.00133241190447,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00246926025682,0.00105571160471,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000477230858346,0.0012367414976,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00232839690196,0.00145983881299,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037735065746,0.00139197715367,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00177549443509,0.00134029571576,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00157416279387,0.00126147929298,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000311086582341,0.000740927453481,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00058901409234,0.00119138215783,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00185749981632,0.00112945510064,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.61673554136e-05,0.00126398586924,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000605011441499,0.00190350862245,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00153866776673,0.00116245964651,0.0,0.0
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000387391935079,0.000991111660715,0.0,0.0
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00142455589022,0.00100684758088,0.0,0.0
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00260429809639,0.0026123552817,0.0,0.0
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000465943290976,0.00179126885192,0.0,0.0
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0017378680662,0.00111581844998,0.0,0.0
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000309065442635,0.0013895990613,0.0,0.0
